subject,upper_acc,lower_acc,n_train,n_test
1,0.7592592592592593,0.8731481481481481,17016,2160
2,0.7722222222222223,0.925,17376,1800
3,0.7380208333333333,0.9151041666666667,17256,1920
4,0.7177083333333333,0.75,17256,1920
5,0.856418918918919,0.8305180180180181,17400,1776
6,0.7890625,0.9140625,17256,1920
7,0.7008333333333333,0.9158333333333334,17976,1200
8,0.9425925925925925,0.9,18096,1080
9,0.8009259259259259,0.7925925925925926,18096,1080
10,0.6722222222222223,0.775,18096,1080
11,0.7546296296296297,0.8231481481481482,18096,1080
12,0.637962962962963,0.8018518518518518,18096,1080
13,0.7962962962962963,0.9203703703703704,18096,1080
,0.7890625,0.8528125,,
